Time (s),Take sample,Powertrain 1 ESC throttle - target (?s)
99.3,,1323.528
99.4,,1323.528
99.5,,1320.588
99.6,,1317.648
99.7,,1314.705
99.8,,1311.765
99.9,,1311.765
100,,1311.765
100.1,,1308.825
100.2,,1305.882
100.3,,1299.999
100.4,,1297.059
100.5,,1297.059
100.6,,1294.119
100.7,,1294.119
100.8,,1294.119
100.9,,1291.176
101,,1288.236
101.1,,1288.236
101.2,,1285.2930000000001
101.3,,1282.353
101.4,,1276.47
101.5,,1273.53
101.6,,1270.587
101.7,,1270.587
101.8,,1267.647
101.9,,1267.647
102,,1267.647
102.1,,1264.7069999999999
102.2,,1264.7069999999999
102.3,,1261.764
102.4,,1261.764
102.5,,1258.824
102.6,,1255.881
102.7,,1252.941
102.8,,1250.001
102.9,,1247.058
103,,1244.118
103.1,,1238.235
103.2,,1235.295
103.3,,1235.295
103.4,,1235.295
103.5,,1232.352
103.6,,1232.352
103.7,,1232.352
103.8,,1226.472
103.9,,1223.529
104,,1220.589
104.1,,1220.589
104.2,,1220.589
104.3,,1217.646
104.4,,1217.646
104.5,,1214.706
104.6,,1214.706
104.7,,1211.766
104.8,,1208.823
104.9,,1208.823
105,,1205.883
105.1,,1202.94
105.2,,1200
105.3,,1200
105.4,,1200
105.5,,1200
105.6,,1200
105.7,,1200
105.8,,1200
105.9,,1200
106,,1200
106.1,,1200
106.2,,1200
106.3,,1200
106.4,,1200
106.5,,1200
106.6,,1200
106.7,,1200
106.8,,1200
106.9,,1200
107,,1200
107.1,,1200
107.2,,1200
107.3,,1200
107.4,,1200
107.5,,1200
107.6,,1200
107.7,,1200
107.8,,1200
107.9,,1200
108,,1200
108.1,,1200
108.2,,1200
108.3,,1200
108.4,,1200
108.5,,1200
108.6,,1200
108.7,,1200
108.8,,1200
108.9,,1200
109,,1200
109.1,,1200
109.2,,1200
109.3,,1200
109.4,,1200
109.5,,1200
109.6,,1200
109.7,,1200
109.8,,1200
109.9,,1200
110,,1200
110.1,,1200
110.2,,1200
110.3,,1200
110.4,,1200
110.5,,1200
110.6,,1200
110.7,,1200
110.8,,1200
110.9,,1202.94
111,,1214.706
111.1,,1220.589
111.2,,1223.529
111.3,,1229.412
111.4,,1232.352
111.5,,1238.235
111.6,,1252.941
111.7,,1258.824
111.8,,1267.647
111.9,,1273.53
112,,1276.47
112.1,,1282.353
112.2,,1288.236
112.3,,1291.176
112.4,,1294.119
112.5,,1299.999
112.6,,1302.942
112.7,,1305.882
112.8,,1314.705
112.9,,1317.648
113,,1323.528
113.1,,1332.354
113.2,,1338.234
113.3,,1341.177
113.4,,1347.06
113.5,,1350
113.6,,1355.883
113.7,,1361.766
113.8,,1364.706
113.9,,1370.589
114,,1373.529
114.1,,1379.412
114.2,,1382.352
114.3,,1385.295
114.4,,1388.2350000000001
114.5,,1397.058
114.6,,1400.001
114.7,,1400.001
114.8,,1400.001
114.9,,1402.941
115,,1405.8809999999999
115.1,,1405.8809999999999
115.2,,1408.824
115.3,,1408.824
115.4,,1408.824
115.5,,1408.824
115.6,,1408.824
115.7,,1411.764
115.8,,1411.764
115.9,,1411.764
116,,1411.764
116.1,,1411.764
116.2,,1411.764
116.3,,1411.764
116.4,,1411.764
116.5,,1411.764
116.6,,1411.764
116.7,,1411.764
116.8,,1411.764
116.9,,1411.764
117,,1408.824
117.1,,1408.824
117.2,,1408.824
117.3,,1405.8809999999999
117.4,,1400.001
117.5,,1400.001
117.6,,1400.001
117.7,,1400.001
117.8,,1400.001
117.9,,1397.058
118,,1397.058
118.1,,1397.058
118.2,,1397.058
118.3,,1397.058
118.4,,1397.058
118.5,,1394.118
118.6,,1391.175
118.7,,1391.175
118.8,,1388.2350000000001
118.9,,1388.2350000000001
119,,1388.2350000000001
119.1,,1385.295
119.2,,1385.295
119.3,,1385.295
119.4,,1385.295
119.5,,1382.352
119.6,,1382.352
119.7,,1379.412
119.8,,1376.472
119.9,,1373.529
120,,1370.589
120.1,,1370.589
120.2,,1367.646
120.3,,1367.646
120.4,,1364.706
120.5,,1364.706
120.6,,1364.706
120.7,,1364.706
120.8,,1361.766
120.9,,1361.766
121,,1358.823
121.1,,1358.823
121.2,,1355.883
121.3,,1352.94
121.4,,1350
121.5,,1350
121.6,,1473.528
121.7,,1470.588
121.8,,1464.705
121.9,,1455.882
122,,1447.059
122.1,,1432.353
122.2,,1423.53
122.3,,1405.8809999999999
122.4,,1397.058
122.5,,1394.118
122.6,,1391.175
122.7,,1385.295
122.8,,1382.352
122.9,,1376.472
123,,1370.589
123.1,,1370.589
123.2,,1370.589
123.3,,1373.529
123.4,,1373.529
123.5,,1373.529
123.6,,1370.589
123.7,,1367.646
123.8,,1367.646
123.9,,1361.766
124,,1358.823
124.1,,1358.823
124.2,,1358.823
124.3,,1358.823
124.4,,1367.646
124.5,,1370.589
124.6,,1367.646
124.7,,1364.706
124.8,,1355.883
124.9,,1344.117
125,,1344.117
125.1,,1335.2939999999999
125.2,,1320.588
125.3,,1314.705
125.4,,1323.528
125.5,,1329.411
125.6,,1332.354
125.7,,1332.354
125.8,,1329.411
125.9,,1329.411
126,,1332.354
126.1,,1335.2939999999999
126.2,,1335.2939999999999
126.3,,1341.177
126.4,,1344.117
126.5,,1350
126.6,,1352.94
126.7,,1352.94
126.8,,1350
126.9,,1347.06
127,,1344.117
127.1,,1344.117
127.2,,1344.117
127.3,,1338.234
127.4,,1329.411
127.5,,1329.411
127.6,,1332.354
127.7,,1335.2939999999999
127.8,,1338.234
127.9,,1341.177
128,,1347.06
128.1,,1352.94
128.2,,1355.883
128.3,,1355.883
128.4,,1355.883
128.5,,1355.883
128.6,,1358.823
128.7,,1358.823
128.8,,1352.94
128.9,,1344.117
129,,1344.117
129.1,,1344.117
129.2,,1344.117
129.3,,1341.177
129.4,,1341.177
129.5,,1335.2939999999999
129.6,,1329.411
129.7,,1332.354
129.8,,1335.2939999999999
129.9,,1341.177
130,,1352.94
130.1,,1352.94
130.2,,1352.94
130.3,,1355.883
130.4,,1358.823
130.5,,1358.823
130.6,,1361.766
130.7,,1361.766
130.8,,1364.706
130.9,,1361.766
131,,1364.706
131.1,,1364.706
131.2,,1364.706
131.3,,1370.589
131.4,,1373.529
131.5,,1376.472
131.6,,1373.529
131.7,,1376.472
131.8,,1376.472
131.9,,1376.472
132,,1370.589
132.1,,1370.589
132.2,,1364.706
132.3,,1352.94
132.4,,1350
132.5,,1350
132.6,,1352.94
132.7,,1358.823
132.8,,1364.706
132.9,,1364.706
133,,1364.706
133.1,,1364.706
133.2,,1367.646
133.3,,1367.646
133.4,,1373.529
133.5,,1376.472
133.6,,1388.2350000000001
133.7,,1391.175
133.8,,1391.175
133.9,,1388.2350000000001
134,,1382.352
134.1,,1379.412
134.2,,1376.472
134.3,,1373.529
134.4,,1367.646
134.5,,1364.706
134.6,,1361.766
134.7,,1361.766
134.8,,1352.94
134.9,,1344.117
135,,1338.234
135.1,,1341.177
135.2,,1341.177
135.3,,1347.06
135.4,,1352.94
135.5,,1355.883
135.6,,1355.883
135.7,,1370.589
135.8,,1373.529
135.9,,1376.472
136,,1376.472
136.1,,1370.589
136.2,,1370.589
136.3,,1370.589
136.4,,1373.529
136.5,,1388.2350000000001
136.6,,1391.175
136.7,,1391.175
136.8,,1388.2350000000001
136.9,,1391.175
137,,1388.2350000000001
137.1,,1385.295
137.2,,1385.295
137.3,,1385.295
137.4,,1379.412
137.5,,1376.472
137.6,,1364.706
137.7,,1358.823
137.8,,1358.823
137.9,,1361.766
138,,1358.823
138.1,,1358.823
138.2,,1355.883
138.3,,1355.883
138.4,,1352.94
138.5,,1352.94
138.6,,1347.06
138.7,,1347.06
138.8,,1350
138.9,,1352.94
139,,1352.94
139.1,,1355.883
139.2,,1355.883
139.3,,1358.823
139.4,,1358.823
139.5,,1358.823
139.6,,1358.823
139.7,,1358.823
139.8,,1352.94
139.9,,1352.94
140,,1347.06
140.1,,1341.177
140.2,,1344.117
140.3,,1344.117
140.4,,1344.117
140.5,,1344.117
140.6,,1347.06
140.7,,1350
140.8,,1358.823
140.9,,1361.766
141,,1361.766
