Time (s),MGM ESC throttle (μs),MGM force Fz (thrust) (N),MGM torque MZ (torque) (N⋅m),MGM voltage (V),MGM current (A),MGM rotation speed (rpm),MGM electrical power (W),MGM mechanical power (W),MGM motor & ESC efficiency (%),MGM propeller efficiency (N/W),MGM powertrain efficiency (N/W)
11.9,1350,0.000886309,-0.000536666,16.911823272705078,3.222208023071289,6724.131012555709,54.493412017822266,-0.377892733,-0.693464978,-0.002345397,1.62645E-05
12,1350,-0.000424942,-0.000360862,16.911821365356445,3.2247886657714844,6734.227598539038,54.53704833984375,-0.254482359,-0.466622924,0.001669828,-7.7918E-06
12.1,1350,0.003372682,-0.000340574,16.911806106567383,3.234227418899536,6741.580743419582,54.69662857055664,-0.24043715,-0.439583138,-0.014027293,6.16616E-05
12.2,1350,0.003483309,-8.61656E-05,16.912214279174805,3.2003440856933594,6742.871740241903,54.12490463256836,-0.060842574,-0.112411426,-0.057251178,6.43569E-05
12.3,1350,0.000200834,-0.000244405,16.91191291809082,3.2268142700195312,6746.064553150562,54.57160186767578,-0.172659203,-0.316390186,-0.001163184,3.6802E-06
12.4,1350,0.000558604,-5.20598E-05,16.912015914916992,3.2088794708251953,6747.862623216864,54.268619537353516,-0.036787219,-0.067787274,-0.015184741,1.02933E-05
12.5,1350,0.003342212,-6.58228E-05,16.91197967529297,3.211183786392212,6748.041555959281,54.30747604370117,-0.046513867,-0.085649104,-0.0718541,6.15424E-05
12.6,1350,0.002939389,-3.75594E-05,16.911943435668945,3.2167813777923584,6751.111389035203,54.40202331542969,-0.026553575,-0.0488099,-0.110696532,5.40309E-05
12.7,1350,-0.001229716,1.24698E-05,16.91187096,3.207789182662964,6750.024387196092,54.249717712402344,0.008814392,0.016247813,-0.139512315,-2.26677E-05
12.8,1350,-0.000275512,-0.00019774,16.911863327026367,3.1981468200683594,6747.856794788772,54.08662033081055,-0.139730126,-0.258345087,0.001971744,-5.0939E-06
12.9,1350,0.003081292,-0.000243292,16.911869049072266,3.2080471515655518,6746.7948551904565,54.25407409667969,-0.17189154,-0.316826976,-0.017925795,5.67938E-05
13,1350,0.003350138,-0.000263175,16.91177749633789,3.2104926109313965,6747.517580273833,54.295135498046875,-0.185958788,-0.342496205,-0.018015489,6.17024E-05
13.1,1350,-0.001135114,-7.65937E-05,16.91186523,3.2034618854522705,6748.360370975899,54.176517486572266,-0.054127745,-0.099909981,0.020971011370420456,-2.09521E-05
13.2,1350,0.000559459,-0.000207418,16.911808013916016,3.1984832286834717,6749.150706,54.092132568359375,-0.146596938,-0.271013402,-0.003816304,1.03427E-05
13.3,1350,0.002851139,-0.000187001,16.91193389892578,3.202305793762207,6751.1003150218285,54.15718460083008,-0.132205054,-0.244113617,-0.021566033,5.26456E-05
13.4,1350,0.002303654,-0.00011912,16.911832809448242,3.2135753631591797,6751.480911376219,54.347450256347656,-0.084219769,-0.154965452,-0.027352884,4.23875E-05
13.5,1350,-0.000800561,-5.82737E-05,16.911874771118164,3.2073662281036377,6750.682417,54.242576599121094,-0.041195393,-0.075946603,0.019433271139860153,-1.47589E-05
13.6,1350,-0.000157251,-0.000169881,16.91215705871582,3.1971185207366943,6749.161196995705,54.07017135620117,-0.120067008,-0.222057756,0.00130969,-2.90827E-06
13.7,1350,0.004340704,-8.52186E-05,16.912128448486328,3.1981780529022217,6748.2216543873155,54.08799743652344,-0.060221642,-0.111340126,-0.072078794,8.02526E-05
13.8,1350,0.001725038,-0.000108527,16.912017822265625,3.201529026031494,6748.148216,54.144317626953125,-0.076692328,-0.14164428,-0.022492962,3.186E-05
13.9,1350,-0.001290304,-0.00010873,16.911888122558594,3.2113962173461914,6747.7629570964955,54.31077194213867,-0.076831311,-0.14146606,0.016793989,-2.37578E-05
14,1350,-0.00030202,-0.000151839,16.911937713623047,3.220280170440674,6749.516731109301,54.461177825927734,-0.107320912,-0.197059475,0.002814176,-5.5456E-06
14.1,1350,0.00362899,-0.00030054,16.911901473999023,3.2204349040985107,6750.129881744553,54.46367645263672,-0.212443054,-0.390063738,-0.017082177,6.66314E-05
14.2,1350,0.001024803,-0.000172046,16.911897659301758,3.2060675621032715,6748.756704086138,54.22068786621094,-0.1215894,-0.224249088,-0.008428395,1.89006E-05
14.3,1350,-0.002213279,-0.000142564,16.91181755065918,3.2090578079223633,6747.549636628338,54.270999908447266,-0.100735635,-0.185615954,0.021971162408590317,-4.0782E-05
14.4,1350,-0.000217283,-0.000241113,16.911815643310547,3.2135190963745117,6746.101272247539,54.34644317626953,-0.170334488,-0.313423434,0.001275624,-3.99811E-06
14.5,1350,0.003166344,-4.97743E-05,16.911884307861328,3.214426040649414,6746.618836662086,54.36199951171875,-0.03516572,-0.064688054,-0.090040624,5.82455E-05
14.6,1350,0.002206553,-4.19737E-05,16.911840438842773,3.2141470909118652,6747.822989905841,54.35714340209961,-0.029659919,-0.054564897,-0.074395098,4.05936E-05
14.7,1350,-0.001398316,-5.01299E-05,16.91185951,3.2222914695739746,6747.413251410991,54.49494171142578,-0.035421144,-0.064998964,0.039476864,-2.56596E-05
14.8,1350,0.000429214,-0.000222155,16.911867141723633,3.2217209339141846,6748.486848,54.48531723022461,-0.156996876,-0.288145291,-0.002733901,7.87761E-06
14.9,1350,0.003191451,-0.000253133,16.911800384521484,3.237949848175049,6748.768360942321,54.759559631347656,-0.178896576,-0.326694688,-0.017839642,5.82812E-05
15,1350,0.002646687,-0.000117017,16.91187286376953,3.231325149536133,6749.368106192962,54.64775848388672,-0.082706347,-0.151344447,-0.032001011,4.84318E-05
15.1,1350,-0.001176957,-0.000112026,16.91187858581543,3.243318557739258,6749.067359303428,54.850608825683594,-0.079175271,-0.144347106,0.014865209348499775,-2.14575E-05
15.2,1350,0.001340257,-0.000187976,16.91187286376953,3.2437596321105957,6748.031647631525,54.85805130004883,-0.132833913,-0.242141145,-0.01008972,2.44314E-05
15.3,1350,0.003156643,-0.000146603,16.91193389892578,3.225281000137329,6748.274693082951,54.545738220214844,-0.103601106,-0.189934368,-0.0304692,5.78715E-05
15.4,1350,0.00122541,-0.000156844,16.912137985229492,3.2102434635162354,6746.657887130301,54.29207992553711,-0.110811315,-0.204102159,-0.011058526,2.25707E-05
15.5,1350,-0.00164148,-8.98498E-05,16.91199493408203,3.2201852798461914,6746.191612882962,54.45975875854492,-0.063475251,-0.116554415,0.025860166177153587,-3.01412E-05
15.6,1350,-0.000424554,-0.000225906,16.911848068237305,3.218914509,6747.273369136789,54.43779373168945,-0.159618825,-0.293213269,0.002659801,-7.79889E-06
15.7,1350,0.0036127,-0.000137917,16.911943435668945,3.2051150798797607,6746.886944354306,54.20472336,-0.097442515,-0.179767562,-0.037075192,6.66492E-05
15.8,1350,0.00063424,-7.24908E-05,16.911869049072266,3.2132890224456787,6746.743565023249,54.34272384643555,-0.051216017,-0.094246323,-0.012383621,1.16711E-05
15.9,1350,-0.00158856,-9.45855E-05,16.91185760498047,3.215576172,6747.798510507855,54.38136672973633,-0.066836715,-0.122903707,0.023767782375216484,-2.92115E-05
16,1400,3.78616E-05,-0.000208318,16.911832809448242,3.2248823642730713,6746.8420654579995,54.53866958618164,-0.147182569,-0.269868271,-0.000257243,6.942163963685744e-7
