Time (s),Powertrain 1 - ESC throttle (μs),Powertrain 1 - force Fz (thrust) (N),Powertrain 1 - torque MZ (torque) (N⋅m),Powertrain 1 - voltage (V),Powertrain 1 - current (A),Powertrain 1 - rotation speed (rpm),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W),Powertrain 1 - Temperature PT100 2 (°C)
100.3,1824,-21.74059295654297,0.4002296030521393,16.962766647338867,47.298316955566406,12174.286544189205,802.310302734375,510.248046875,63.59734535217285,-0.04260789230465889,-0.027097485959529877,27.728662109375023
100.4,1824,-21.63071060180664,0.3974349796772003,16.960590362548828,46.79825973510742,12135.463384670096,793.7261352539062,505.0694274902344,63.63270878791809,-0.04282720386981964,-0.027252109721302986,27.730950927734398
100.5,1824,-21.616722106933594,0.39591941237449646,16.957361221313477,46.54852294921875,12093.122185954811,789.340087890625,501.3879089355469,63.519883155822754,-0.043113768100738525,-0.027385814115405083,27.733453369140648
100.6,1824,-21.508935928344727,0.394491970539093,16.956523895263672,46.350067138671875,12066.506086231053,785.93603515625,498.4806823730469,63.42509388923645,-0.043148986995220184,-0.027367286384105682,27.734857177734398
100.7,1824,-21.394515991210938,0.39328882098197937,16.956504821777344,46.14891815185547,12053.350158342368,782.5243530273438,496.4185485839844,63.43809366226196,-0.043097738176584244,-0.02734038420021534,27.736566162109398
100.8,1824,-21.35455894470215,0.390656441450119,16.95648765563965,45.96437454223633,12047.816648712065,779.3943481445312,492.8695068359375,63.23750019073486,-0.043327003717422485,-0.027398914098739624,27.738061523437523
100.9,1824,-21.242738723754883,0.3888472616672516,16.95665168762207,45.772491455078125,12044.642486773302,776.148193359375,490.4577331542969,63.19124698638916,-0.04331206902861595,-0.027369435876607895,27.739129638671898
101,1799,-21.211246490478516,0.3888147473335266,16.95563507080078,45.63631057739258,12036.137644501829,773.7926025390625,490.0704345703125,63.33355903625488,-0.04328203946352005,-0.02741205506026745,27.739923095703148
101.1,1799,-21.210668563842773,0.38503652811050415,16.963565826416016,45.07370376586914,12012.645582235244,764.6107177734375,484.3610534667969,63.347405195236206,-0.0437910296022892,-0.02774048037827015,27.740655517578148
101.2,1799,-21.026010513305664,0.37706291675567627,16.97184181213379,43.727027893066406,11941.784719181436,742.128173828125,471.5325622558594,63.53788375854492,-0.044590793550014496,-0.028332047164440155,27.742883300781273
