Time (s),ARC RD - ESC throttle (μs),ARC RD - force Fz (thrust) (N),ARC RD - torque MZ (torque) (N⋅m),ARC RD - voltage (V),ARC RD - current (A),ARC RD - rotation speed (rpm),ARC RD - electrical power (W),ARC RD - mechanical power (W),ARC RD - motor & ESC efficiency (%),ARC RD - propeller efficiency (N/W),ARC RD - powertrain efficiency (N/W)
12.2,1000,29.779930114746094,0.5794031620025635,16.886816024780273,90.54346466064453,14244.230632945415,1528.9908447265625,864.2680664,56.52539134025574,0.034456819,0.019476853
12.3,1000,29.768840789794922,0.5822800993919373,16.889528274536133,90.63280487060547,14272.42391,1530.745361328125,870.2785645,56.85325860977173,0.034206104,0.019447285681962967
12.4,1000,29.843900680541992,0.580785334,16.894145965576172,90.60740661621094,14288.668900088109,1530.7347412109375,869.0325317382812,56.772249937057495,0.034341522,0.019496453925967216
12.5,1000,29.979801177978516,0.5828307867050171,16.89026641845703,90.89084625,14295.369261022379,1535.170654296875,872.5020751953125,56.834208965301514,0.034360721707344055,0.019528644159436226
12.6,1000,30.09150505065918,0.5836420655250549,16.893434524536133,90.8972168,14307.65908449663,1535.566162109375,874.4677124023438,56.94757699966431,0.034411225,0.019596358761191368
12.7,1000,30.161699295043945,0.586340606,16.89057159423828,91.18824768066406,14327.68090067739,1540.22168,879.7402954101562,57.11777210235596,0.034284774,0.019582699984312057
12.8,1000,30.006437301635742,0.5862525701522827,16.89659881591797,90.97502136230469,14360.469305750306,1537.168457,881.6211547851562,57.35357999801636,0.034035522,0.019520592
12.9,1000,29.957590103149414,0.591563344,16.901779174804688,91.13758087158203,14453.039897760242,1540.387207,895.3422241210938,58.12448859214783,0.033459373,0.019448090344667435
13,1000,30.033063888549805,0.5883835554122925,16.915987014770508,90.48180389404297,14528.555343488117,1530.5889892578125,895.1824951171875,58.48614573478699,0.033549655228853226,0.019621899351477623
13.1,1000,30.162925720214844,0.5912830233573914,16.90835952758789,90.62925720214844,14571.552823206534,1532.39209,902.2561645507812,58.87894034385681,0.033430558,0.019683556631207466
13.2,1000,30.293180465698242,0.5967926979064941,16.90903091430664,90.90326690673828,14615.908326670324,1537.086181640625,913.4356079101562,59.42643880844116,0.033164002,0.019708186388015747
13.3,1000,30.433313369750977,0.5947307348251343,16.91454506,90.64178466796875,14629.575990545465,1533.164551,911.1307983398438,59.42811965942383,0.033401694148778915,0.019849998876452446
13.4,1000,30.339744567871094,0.5808702111244202,16.929828643798828,89.31439208984375,14569.728525213817,1512.077392578125,886.2559814453125,58.61181616783142,0.034233614802360535,0.020064943
13.5,1000,30.059688568115234,0.5731041431427002,16.90718650817871,88.86072540283203,14420.095290814468,1502.3848876953125,865.4266967773438,57.60353207588196,0.034733951,0.020007981
13.6,1000,29.972896575927734,0.5754633545875549,16.89693260192871,88.91998291015625,14314.642707036157,1502.4749755859375,862.6344604492188,57.414233684539795,0.034745768,0.019949015229940414
13.7,1000,30.014049530029297,0.578926146,16.89375114440918,89.26788330078125,14252.77510852791,1508.0694580078125,864.0745239257812,57.29673504829407,0.034735485911369324,0.019902300089597702
13.8,1000,30.010223388671875,0.5781930685043335,16.894065856933594,89.15180206298828,14223.919726731305,1506.136474609375,861.2332763671875,57.18162655830383,0.034845639020204544,0.019925301894545555
13.9,1000,29.98981285095215,0.5811901092529297,16.891036987304688,89.21237946,14206.803964797087,1506.889648,864.6557006835938,57.38016366958618,0.034684107,0.019901799
14,1000,30.20347023010254,0.5841184854507446,16.890609741210938,89.60554504394531,14216.03619489441,1513.4923095703125,869.5770874023438,57.45500326156616,0.034733515,0.019956144
14.1,1000,30.286067962646484,0.5842331647872925,16.893526077270508,89.40218353271484,14202.659952423857,1510.318115234375,868.9294434,57.53287672996521,0.034854461,0.020052773877978325
14.2,1000,30.43725586,0.5881033539772034,16.887380599975586,89.75186920166016,14198.85398887995,1515.6739501953125,874.4511719,57.693880796432495,0.034807268530130386,0.020081663504242897
14.3,1000,30.40509796142578,0.5885365605354309,16.895458221435547,89.52040100097656,14200.024337240771,1512.4881591796875,875.1674194335938,57.86276459693909,0.034742035,0.0201027
14.4,1000,30.336999893188477,0.5875792503356934,16.89336395263672,89.58889770507812,14220.567214892933,1513.4578857421875,875.0079345703125,57.815152406692505,0.034670543,0.020044825971126556
14.5,1000,30.33691978,0.5859979391098022,16.895103454589844,89.46732330322266,14244.357692677815,1511.5596923828125,874.1129760742188,57.828545570373535,0.034705948,0.020069945603609085
14.6,1000,30.36159324645996,0.5872163772583008,16.892257690429688,89.53903961,14264.65111360765,1512.5164794921875,877.1784057617188,57.99463391304016,0.03461279,0.020073560997843742
14.7,1000,30.372453689575195,0.5883558392524719,16.894100189208984,89.23826599121094,14265.700230664163,1507.6002197265625,878.9451904296875,58.300942182540894,0.034555573016405106,0.020146225
14.8,1000,30.497970581054688,0.5892049670219421,16.895200729370117,89.02071380615234,14255.443362908312,1504.0228271484375,879.5808105,58.48187804222107,0.0346733,0.020277599
14.9,1000,30.478723526000977,0.5885956287384033,16.89529800415039,89.06875610351562,14258.25499661977,1504.8431396484375,878.8444824,58.401066064834595,0.034680452197790146,0.020253753289580345
15,1000,30.47527503967285,0.5813955664634705,16.892860412597656,89.3375473,14235.198900774447,1509.166748046875,866.6901855,57.42838978767395,0.035162825137376785,0.020193444564938545
15.1,1000,30.178098678588867,0.578429103,16.887535095214844,89.88148498535156,14182.27677370141,1517.876708984375,859.0623779296875,56.59632086753845,0.035129111260175705,0.019881784915924072
15.2,1000,30.157346725463867,0.5772988200187683,16.888839721679688,90.41555786132812,14166.432774776813,1527.013916015625,856.4259033203125,56.08501434326172,0.035213023,0.01974923
15.3,1000,30.219833374023438,0.5803351402282715,16.894168853759766,90.43189239501953,14157.093301602601,1527.7716064453125,860.3627319335938,56.314873695373535,0.035124525,0.019780334
15.4,1000,30.40180015563965,0.5810560584068298,16.89392662,90.63378906,14153.745452506704,1531.1605224609375,861.2277832,56.24673366546631,0.035300534,0.019855396822094917
15.5,1000,30.40637779,0.5838550329208374,16.889562606811523,90.86227416992188,14136.802212044004,1534.624023,864.3404541015625,56.32261633872986,0.035178706,0.019813567399978638
15.6,1000,30.44909096,0.5872334241867065,16.88996124267578,91.21921539,14148.807608227378,1540.688965,870.0800781,56.47343993186951,0.034995735,0.019763294607400894
15.7,1000,30.461641311645508,0.5873170495033264,16.894615173339844,91.33717346191406,14195.81038373044,1543.106445,873.0948486328125,56.58034086227417,0.03488927,0.019740468
15.8,1000,30.42263412475586,0.5880414247512817,16.897254943847656,91.24322509765625,14231.46287836764,1541.760009765625,876.3671264648438,56.84199333190918,0.034714486449956894,0.019732406362891197
15.9,1000,30.499740600585938,0.5898944139480591,16.899415969848633,91.25823211669922,14254.184422440496,1542.2108154296875,880.5322875976562,57.09545612335205,0.034637846,0.019776634871959686
16,1000,30.56557273864746,0.5940937399864197,16.897146224975586,91.43286895751953,14284.47476323329,1544.95459,888.6850586,57.52176046,0.034394156,0.019784124568104744
16.1,1000,30.803171157836914,0.5978332161903381,16.90813636779785,91.41890716552734,14346.977660403536,1545.723388671875,898.1917724609375,58.10818672180176,0.034294646233320236,0.019927997142076492
16.2,1000,30.839792251586914,0.600112796,16.909807205200195,91.52628326416016,14399.198044734329,1547.6917724609375,904.8983764648438,58.46760869026184,0.034080945,0.019926313310861588
16.3,1000,30.858774185180664,0.5983244776725769,16.919198989868164,91.14736938476562,14450.940497961596,1542.1405029296875,905.4437866210938,58.71344804763794,0.034081381,0.020010352
16.4,1000,30.80115509033203,0.5967053174972534,16.918800354003906,90.97799682617188,14487.88924,1539.238525390625,905.3023681640625,58.81494879722595,0.034023058,0.020010645
16.5,1000,30.734397888183594,0.5960417985916138,16.914005279541016,90.51220703,14502.817005034974,1530.9239501953125,905.2274169921875,59.12948250770569,0.033952128142118454,0.020075717940926552
16.6,1000,30.402393341064453,0.5758592486381531,16.92595672607422,88.49844360351562,14398.016039517322,1497.9207763671875,868.2556762695312,57.964056730270386,0.035015486,0.020296395
16.7,1000,30.061052322387695,0.5724151134490967,16.91274070739746,88.01675415039062,14294.511316407274,1488.604492,856.8583374023438,57.561177015304565,0.035082872956991196,0.020194115
16.8,1000,29.649147033691406,0.5710539221763611,16.905927658081055,87.76061248779297,14248.59729127175,1483.674560546875,852.0750732421875,57.430052757263184,0.034796402,0.019983592
16.9,1000,29.320850372314453,0.5652906894683838,16.908119201660156,87.28949737548828,14243.019485587949,1475.9012451171875,843.1455078,57.12749958,0.034775551,0.019866405054926872
17,1000,29.250930786132812,0.5633286237716675,16.90717124938965,86.97493743896484,14244.726049333212,1470.5001220703125,840.3197021484375,57.14516043663025,0.034809288,0.019891824573278427
17.1,1000,29.152212142944336,0.5643189549446106,16.901874542236328,86.84317779541016,14241.657964785718,1467.8125,841.6156616210938,57.33808875083923,0.03463839,0.019860992208123207
17.2,1000,29.112565994262695,0.5644835233688354,16.901840209960938,86.68406677246094,14237.61886411814,1465.1202392578125,841.6223145,57.44391083717346,0.034591007977724075,0.019870428
17.3,1000,29.165576934814453,0.5652683973312378,16.89773941040039,86.87129211425781,14233.632219303387,1467.928466796875,842.5565795898438,57.39765763282776,0.034615573,0.019868526607751846
