Time (s),Take sample,Powertrain 1 ESC throttle - target (μs),
60.1,x,1811.7632,1811.7632
60.2,x,1814.9024,1814.9024
60.3,x,1821.1776,1821.1776
60.4,x,1827.4496,1827.4496
60.5,x,1824.3136,1824.3136
60.6,x,1840,1840
60.7,x,1843.136,1843.136
60.8,x,1855.6864,1855.6864
60.9,x,1861.9616,1861.9616
61,x,1868.2368,1868.2368
61.1,x,1880.784,1880.784
61.2,x,1890.1952,1890.1952
61.3,x,1883.92,1883.92
61.4,x,1890.1952,1890.1952
61.5,x,1893.3344,1893.3344
61.6,x,1899.6064,1899.6064
61.7,x,1890.1952,1890.1952
61.8,x,1896.4704,1896.4704
61.9,x,1893.3344,1893.3344
62,x,1880.784,1880.784
62.1,x,1858.8224,1858.8224
62.2,x,1846.2752,1846.2752
62.3,x,1821.1776,1821.1776
62.4,x,1802.352,1802.352
62.5,x,1821.1776,1821.1776
62.6,x,1830.5888,1830.5888
62.7,x,1843.136,1843.136
62.8,x,1818.0384,1818.0384
62.9,x,1758.432,1758.432
63,x,1692.5504,1692.5504
63.1,x,1680,1680
63.2,x,1680,1680
63.3,x,1680,1680
63.4,x,1680,1680
63.5,x,1680,1680
63.6,x,1680,1680
63.7,x,2000,2000
63.8,x,2000,2000
63.9,x,1200,1200
