Time (s),Take sample,Powertrain 1 ESC throttle - target (?s)
102.2,x,431.38
102.3,x,411.76
102.4,x,411.76
102.5,x,392.16
102.6,x,372.54
102.7,x,352.94
102.8,x,333.34
102.9,x,313.72
103,x,294.12
103.1,x,254.9
103.2,x,235.3
103.3,x,235.3
103.4,x,235.3
103.5,x,215.68
103.6,x,215.68
103.7,x,215.68
103.8,x,176.48
103.9,x,156.86
104,x,137.26
104.1,x,137.26
104.2,x,137.26
104.3,x,117.64
104.4,x,117.64
104.5,x,98.04
104.6,x,98.04
104.7,x,78.44
104.8,x,58.82
104.9,x,58.82
105,x,39.22
105.1,x,19.6
105.2,x,0
105.3,x,0
105.4,x,0
105.5,x,0
105.6,x,0
105.7,x,0
105.8,x,0
105.9,x,0
106,x,0
106.1,x,0
106.2,x,0
106.3,x,0
106.4,x,0
106.5,x,0
106.6,x,0
106.7,x,0
106.8,x,0
106.9,x,0
107,x,0
107.1,x,0
107.2,x,0
107.3,x,0
107.4,x,0
107.5,x,0
107.6,x,0
107.7,x,0
107.8,x,0
107.9,x,0
108,x,0
108.1,x,0
108.2,x,0
108.3,x,0
108.4,x,0
108.5,x,0
108.6,x,0
108.7,x,0
108.8,x,0
108.9,x,0
109,x,0
109.1,x,0
109.2,x,0
109.3,x,0
109.4,x,0
109.5,x,0
109.6,x,0
109.7,x,0
109.8,x,0
109.9,x,0
110,x,0
110.1,x,0
110.2,x,0
110.3,x,0
110.4,x,0
110.5,x,0
110.6,x,0
110.7,x,0
110.8,x,0
110.9,x,19.6
111,x,98.04
111.1,x,137.26
111.2,x,156.86
111.3,x,196.08
111.4,x,215.68
111.5,x,254.9
111.6,x,352.94
111.7,x,392.16
111.8,x,450.98
111.9,x,490.2
112,x,509.8
112.1,x,549.02
112.2,x,588.24
112.3,x,607.84
112.4,x,627.46
112.5,x,666.66
112.6,x,686.28
112.7,x,705.88
112.8,x,764.7
112.9,x,784.32
113,x,823.52
113.1,x,882.36
113.2,x,921.56
113.3,x,941.18
113.4,x,980.4
113.5,x,1000
113.6,x,1039.22
113.7,x,1078.44
113.8,x,1098.04
113.9,x,1137.26
114,x,1156.86
114.1,x,1196.08
114.2,x,1215.68
114.3,x,1235.3
114.4,x,1254.9
114.5,x,1313.72
114.6,x,1333.34
114.7,x,1333.34
114.8,x,1333.34
114.9,x,1352.94
115,x,1372.54
115.1,x,1372.54
115.2,x,1392.16
115.3,x,1392.16
115.4,x,1392.16
115.5,x,1392.16
115.6,x,1392.16
115.7,x,1411.76
115.8,x,1411.76
115.9,x,1411.76
116,x,1411.76
116.1,x,1411.76
116.2,x,1411.76
116.3,x,1411.76
116.4,x,1411.76
116.5,x,1411.76
116.6,x,1411.76
116.7,x,1411.76
116.8,x,1411.76
116.9,x,1411.76
117,x,1392.16
117.1,x,1392.16
117.2,x,1392.16
117.3,x,1372.54
117.4,x,1333.34
117.5,x,1333.34
117.6,x,1333.34
117.7,x,1333.34
117.8,x,1333.34
117.9,x,1313.72
118,x,1313.72
118.1,x,1313.72
118.2,x,1313.72
118.3,x,1313.72
118.4,x,1313.72
118.5,x,1294.12
118.6,x,1274.5
118.7,x,1274.5
118.8,x,1254.9
118.9,x,1254.9
119,x,1254.9
119.1,x,1235.3
119.2,x,1235.3
119.3,x,1235.3
119.4,x,1235.3
119.5,x,1215.68
119.6,x,1215.68
119.7,x,1196.08
119.8,x,1176.48
119.9,x,1156.86
120,x,1137.26
120.1,x,1137.26
120.2,x,1117.64
120.3,x,1117.64
120.4,x,1098.04
120.5,x,1098.04
120.6,x,1098.04
120.7,x,1098.04
120.8,x,1078.44
120.9,x,1078.44
121,x,1058.82
121.1,x,1058.82
121.2,x,1039.22
121.3,x,1019.6
121.4,x,1000
121.5,x,1000
121.6,x,1823.52
121.7,x,1803.92
121.8,x,1764.7
121.9,x,1705.88
122,x,1647.06
122.1,x,1549.02
122.2,x,1490.2
122.3,x,1372.54
122.4,x,1313.72
122.5,x,1294.12
122.6,x,1274.5
122.7,x,1235.3
122.8,x,1215.68
122.9,x,1176.48
123,x,1137.26
123.1,x,1137.26
123.2,x,1137.26
123.3,x,1156.86
123.4,x,1156.86
123.5,x,1156.86
123.6,x,1137.26
123.7,x,1117.64
123.8,x,1117.64
123.9,x,1078.44
124,x,1058.82
124.1,x,1058.82
124.2,x,1058.82
124.3,x,1058.82
124.4,x,1117.64
124.5,x,1137.26
124.6,x,1117.64
124.7,x,1098.04
124.8,x,1039.22
124.9,x,960.78
125,x,960.78
125.1,x,901.96
125.2,x,803.92
125.3,x,764.7
125.4,x,823.52
125.5,x,862.74
125.6,x,882.36
125.7,x,882.36
125.8,x,862.74
125.9,x,862.74
126,x,882.36
126.1,x,901.96
126.2,x,901.96
126.3,x,941.18
126.4,x,960.78
126.5,x,1000
126.6,x,1019.6
126.7,x,1019.6
126.8,x,1000
126.9,x,980.4
127,x,960.78
127.1,x,960.78
127.2,x,960.78
127.3,x,921.56
127.4,x,862.74
127.5,x,862.74
127.6,x,882.36
127.7,x,901.96
127.8,x,921.56
127.9,x,941.18
128,x,980.4
128.1,x,1019.6
128.2,x,1039.22
128.3,x,1039.22
128.4,x,1039.22
128.5,x,1039.22
128.6,x,1058.82
128.7,x,1058.82
128.8,x,1019.6
128.9,x,960.78
129,x,960.78
129.1,x,960.78
129.2,x,960.78
129.3,x,941.18
129.4,x,941.18
129.5,x,901.96
129.6,x,862.74
129.7,x,882.36
129.8,x,901.96
129.9,x,941.18
130,x,1019.6
130.1,x,1019.6
130.2,x,1019.6
130.3,x,1039.22
130.4,x,1058.82
130.5,x,1058.82
130.6,x,1078.44
130.7,x,1078.44
130.8,x,1098.04
130.9,x,1078.44
131,x,1098.04
131.1,x,1098.04
131.2,x,1098.04
131.3,x,1137.26
131.4,x,1156.86
131.5,x,1176.48
131.6,x,1156.86
131.7,x,1176.48
131.8,x,1176.48
131.9,x,1176.48
132,x,1137.26
132.1,x,1137.26
132.2,x,1098.04
132.3,x,1019.6
132.4,x,1000
132.5,x,1000
132.6,x,1019.6
132.7,x,1058.82
132.8,x,1098.04
132.9,x,1098.04
133,x,1098.04
133.1,x,1098.04
133.2,x,1117.64
133.3,x,1117.64
133.4,x,1156.86
133.5,x,1176.48
133.6,x,1254.9
133.7,x,1274.5
133.8,x,1274.5
