Time (s),Powertrain 1 - electrical power (W),Powertrain 1 - mechanical power (W),Powertrain 1 - motor & ESC efficiency (%),Powertrain 1 - propeller efficiency (N/W),Powertrain 1 - powertrain efficiency (N/W)
301.996395,-2.5006916522979736,0,0,0,0.081501804292202
302.996395,-2.2129201889038086,0,0,0,0.09149105846881866
303.996395,-2.1025168895721436,0,0,0,0.09688680619001389
304.996395,-1.9390740394592285,0,0,0,0.10546351969242096
305.996395,-2.748753309249878,0,0,0,0.07427199929952621
306.996395,-2.363311290740967,0,0,0,0.08632250875234604
307.996395,-2.4146201610565186,0,0,0,0.08454514294862747
308.996395,-2.6992831230163574,0,0,0,0.07604721188545227
309.996395,-2.48647403717041,0,0,0,0.08241821080446243
310.996395,-2.547215223312378,0,0,0,0.08050630241632462
311.996395,-2.185115337371826,0,0,0,0.093682661652565
312.996395,-2.4712626934051514,0,0,0,0.0825006365776062
313.996395,-2.2460777759552,0,0,0,0.09071087837219238
314.996395,-2.592879295349121,0,0,0,0.07930875569581985
315.996395,-2.2312352657318115,0,0,0,0.0916343480348587
316.996395,-2.495798349380493,0,0,0,0.0822230651974678
317.996395,-2.34443736076355,0,0,0,0.08742563426494598
318.996395,-2.3200440406799316,0,0,0,0.0878111720085144
319.996395,-2.441450595855713,0,0,0,0.0836501494050026
320.996395,-2.5220272541046143,0,0,0,0.08010221272706985
321.996395,-2.2565793991088867,0,0,0,0.09014257788658142
322.996395,-2.2786014080047607,0,0,0,0.08881811797618866
323.996395,-2.613320827484131,0,0,0,0.07793084532022476
324.996395,-2.695126533508301,0,0,0,0.07581879943609238
325.996395,-2.508620262145996,0,0,0,0.08101321011781693
326.996395,-2.532564163208008,0,0,0,0.08087720721960068
327.996395,-2.485896348953247,0,0,0,0.08203831315040588
328.996395,-2.585261583328247,0,0,0,0.07840321958065033
329.996395,-2.5654823780059814,0,0,0,0.07964630424976349
330.996395,-2.537407159805298,0,0,0,0.0802694782614708
331.996395,-2.6581406593322754,0,0,0,0.07679355889558792
332.996395,-2.5758965015411377,0,0,0,0.088826023042202
333.996395,-2.5472412109375,0,0,0,0.0937809869647026
334.996395,-3.03009295463562,0,0,0,0.06725023686885834
335.996395,-3.133331060409546,0,0,0,0.06532088667154312
336.996395,-2.6990437507629395,0,0,0,0.07595258951187134
337.996395,-2.8202412128448486,0,0,0,0.07255740463733673
338.996395,-2.6213746070861816,0,0,0,0.07818923890590668
